kanakanji,unicode,maxStrokeID,strokeDirections,positionDirections,charClass
ぁ,0x3041,3,rdd,pt,hiragana
あ,0x3042,3,rdd,pt,hiragana
ぃ,0x3043,2,dt,r,hiragana
い,0x3044,2,dt,r,hiragana
ぅ,0x3045,2,td,d,hiragana
う,0x3046,2,td,d,hiragana
ぇ,0x3047,2,tt,d,hiragana
え,0x3048,2,tt,d,hiragana
ぉ,0x3049,3,rdt,pr,hiragana
お,0x304a,3,rdt,pr,hiragana
か,0x304b,3,dst,pt,hiragana
が,0x304c,5,dsttt,ptup,hiragana
き,0x304d,4,rrtr,dud,hiragana
ぎ,0x304e,6,rrtrtt,dudpp,hiragana
く,0x304f,1,d,,hiragana
ぐ,0x3050,3,dtt,tp,hiragana
け,0x3051,3,drd,tp,hiragana
げ,0x3052,5,drdtt,tprp,hiragana
こ,0x3053,2,rr,d,hiragana
ご,0x3054,4,rrtt,dpp,hiragana
さ,0x3055,3,rtr,pd,hiragana
ざ,0x3056,5,rtrtt,pdpp,hiragana
し,0x3057,1,t,,hiragana
じ,0x3058,3,ttt,rp,hiragana
す,0x3059,2,rd,p,hiragana
ず,0x305a,4,rdtt,prp,hiragana
せ,0x305b,3,rdt,pl,hiragana
ぜ,0x305c,5,rdttt,plrp,hiragana
そ,0x305d,1,t,,hiragana
ぞ,0x305e,3,ttt,rp,hiragana
た,0x305f,4,rdrr,pdd,hiragana
だ,0x3060,6,rdrrtt,pddup,hiragana
ち,0x3061,2,rd,p,hiragana
ぢ,0x3062,4,rdtt,prp,hiragana
っ,0x3063,1,t,,hiragana
つ,0x3064,1,t,,hiragana
づ,0x3065,3,ttt,rp,hiragana
て,0x3066,1,t,,hiragana
で,0x3067,3,ttt,rp,hiragana
と,0x3068,2,dd,r,hiragana
ど,0x3069,4,ddtt,rpp,hiragana
な,0x306a,4,rdtd,prd,hiragana
に,0x306b,3,drr,rd,hiragana
ぬ,0x306c,2,dt,r,hiragana
ね,0x306d,2,dt,s,hiragana
の,0x306e,1,d,,hiragana
は,0x306f,3,drd,tp,hiragana
ば,0x3070,5,drdtt,tprp,hiragana
ぱ,0x3071,4,drdo,tpr,hiragana
ひ,0x3072,1,t,,hiragana
び,0x3073,3,ttt,rp,hiragana
ぴ,0x3074,2,to,r,hiragana
ふ,0x3075,4,tdrd,dsr,hiragana
ぶ,0x3076,6,tdrdtt,dsrup,hiragana
ぷ,0x3077,5,tdrdo,dsru,hiragana
へ,0x3078,1,r,,hiragana
べ,0x3079,3,rtt,pp,hiragana
ぺ,0x307a,2,ro,r,hiragana
ほ,0x307b,4,drrd,rdp,hiragana
ぼ,0x307c,6,drrdtt,rdprp,hiragana
ぽ,0x307d,5,drrdo,rdpt,hiragana
ま,0x307e,3,rrd,dp,hiragana
み,0x307f,2,ts,t,hiragana
む,0x3080,3,rtt,pt,hiragana
め,0x3081,2,dd,r,hiragana
も,0x3082,3,trr,sd,hiragana
ゃ,0x3083,3,rtd,ps,hiragana
や,0x3084,3,rtd,ps,hiragana
ゅ,0x3085,2,td,r,hiragana
ゆ,0x3086,2,td,r,hiragana
ょ,0x3087,2,rd,u,hiragana
よ,0x3088,2,rd,u,hiragana
ら,0x3089,2,td,d,hiragana
り,0x308a,2,dd,r,hiragana
る,0x308b,1,t,,hiragana
れ,0x308c,2,dt,s,hiragana
ろ,0x308d,1,d,,hiragana
ゎ,0x308e,2,dt,s,hiragana
わ,0x308f,2,dt,s,hiragana
ゐ,0x3090,1,t,,hiragana
ゑ,0x3091,1,t,,hiragana
を,0x3092,3,rdd,pt,hiragana
ん,0x3093,1,t,,hiragana
ゔ,0x3094,4,tdtt,dpp,hiragana
ゕ,0x3095,3,dst,pt,hiragana
ゖ,0x3096,3,drd,tp,hiragana
゛,0x309b,2,tt,p,hiragana
゜,0x309c,1,o,,hiragana
ゝ,0x309d,1,t,,hiragana
ゞ,0x309e,3,ttt,rp,hiragana
ァ,0x30a1,2,td,t,katakana
